Q28,Q39_Part_1,Q39_Part_2,Q39_Part_3,Q39_Part_4,Q39_Part_5,Q39_Part_6,Q39_Part_7,Q39_Part_8,Q39_Part_9,Q39_OTHER,Q40_Part_1,Q40_Part_2,Q40_Part_3,Q40_Part_4,Q40_Part_5,Q40_Part_6,Q40_Part_7,Q40_Part_8,Q40_Part_9,Q40_Part_10,Q40_Part_11,Q40_OTHER
They all had a similarly enjoyable developer experience,,,, GitHub ,, Kaggle ,,,,,,,,,,,Udemy,LinkedIn Learning,,,,
,,,,,,, Colab ,,,,Coursera,,Kaggle Learn Courses,DataCamp,,,Udemy,,,University Courses (resulting in a university degree),,Other
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,I do not share my work publicly,,,,Kaggle Learn Courses,,,,Udemy,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Coursera,edX,,,,,Udemy,,,University Courses (resulting in a university degree),,
,,,, GitHub , Personal blog ,,,,,,Coursera,,Kaggle Learn Courses,DataCamp,,,,LinkedIn Learning,,,,
,,,, GitHub ,,,,,,,,,Kaggle Learn Courses,,,Udacity,,,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,,,,Other
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,DataCamp,,,Udemy,LinkedIn Learning,,University Courses (resulting in a university degree),,
,,,,, Personal blog ,,,,,,,,,,,Udacity,Udemy,,,,,
 Google Cloud Platform (GCP) ,,, NBViewer , GitHub ,, Kaggle , Colab ,,,,Coursera,edX,Kaggle Learn Courses,,,Udacity,,,,University Courses (resulting in a university degree),,
,,,,,,,,,I do not share my work publicly,,,,,DataCamp,,,Udemy,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,I do not share my work publicly,,Coursera,,,,,,,,,,,
,,,,,,,,,,,Coursera,,,,,,,LinkedIn Learning,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Coursera,,,,,,,,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,Udemy,,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
They all had a similarly enjoyable developer experience,,,,,,,,,I do not share my work publicly,,Coursera,edX,Kaggle Learn Courses,,,,Udemy,,,,,
,,,,,,,,,,,Coursera,edX,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 Microsoft Azure ,,,, GitHub ,,,,,,,Coursera,,,,,,,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,,,,,,,,,,,,,,,,,,
,,,, GitHub ,,,,,,,,,,,,,,,,,None,
 Microsoft Azure ,,,, GitHub ,, Kaggle , Colab ,,,,Coursera,,,,,,Udemy,,,,,
,,,,,,,,,I do not share my work publicly,,Coursera,,,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,I do not share my work publicly,,Coursera,edX,,DataCamp,,,,,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,DataCamp,,Udacity,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,DataCamp,,,,,,,,
,,,, GitHub , Personal blog ,,, Shiny ,,,Coursera,,,DataCamp,,,,,,,,Other
,,,,,, Kaggle , Colab ,,,,Coursera,edX,Kaggle Learn Courses,DataCamp,,Udacity,,LinkedIn Learning,,,,
 Microsoft Azure ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,DataCamp,,,,,,,,
 Microsoft Azure ,,,,,,,,,,,,,,,,,,,,,,
 Google Cloud Platform (GCP) ,,,, GitHub , Personal blog ,, Colab ,,,,Coursera,edX,Kaggle Learn Courses,,,,Udemy,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Coursera,,,,Fast.ai,,Udemy,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,Udemy,,,,,
 Amazon Web Services (AWS) ,,, NBViewer , GitHub ,, Kaggle , Colab ,,,,Coursera,edX,Kaggle Learn Courses,,,Udacity,Udemy,LinkedIn Learning,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,DataCamp,,,Udemy,LinkedIn Learning,,University Courses (resulting in a university degree),,
,,,,,,,,,I do not share my work publicly,,,,,,,,Udemy,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,None,
They all had a similarly enjoyable developer experience,,,,,,,,,I do not share my work publicly,,,,,,,,Udemy,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,Fast.ai,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Other
,,,, GitHub ,, Kaggle ,,,,,Coursera,,Kaggle Learn Courses,DataCamp,,,Udemy,LinkedIn Learning,,University Courses (resulting in a university degree),,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,DataCamp,Fast.ai,,Udemy,LinkedIn Learning,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,,,,,,,,,,,,,,,,,,
,,,, GitHub ,, Kaggle , Colab ,,,,,,,,,,Udemy,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 Amazon Web Services (AWS) ,,,, GitHub ,, Kaggle ,,,,,Coursera,,Kaggle Learn Courses,DataCamp,,,,,,,,
,,,,,,,,,,,Coursera,edX,Kaggle Learn Courses,DataCamp,,Udacity,Udemy,LinkedIn Learning,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",University Courses (resulting in a university degree),,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,Udacity,,,,,,Other
They all had a similarly enjoyable developer experience,,,, GitHub ,, Kaggle ,,,,,Coursera,edX,,DataCamp,,,Udemy,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 Oracle Cloud ,,,, GitHub ,, Kaggle ,,,,,,,,,,,,,,,None,
,,,, GitHub ,,,,,,,,,,,,,Udemy,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,I do not share my work publicly,,,,,,,,,,,,None,
,,,,,,,,,,,,,,,,,,,,,,
 Amazon Web Services (AWS) , Plotly Dash , Streamlit ,, GitHub ,,,,,,,Coursera,,Kaggle Learn Courses,,,,Udemy,LinkedIn Learning,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,DataCamp,,,,,,University Courses (resulting in a university degree),,Other
,,,,,,,,,,,,,,,,,,,,,,
They all had a similarly enjoyable developer experience,,,, GitHub ,, Kaggle ,,,,,,,Kaggle Learn Courses,,Fast.ai,Udacity,,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
 Amazon Web Services (AWS) ,,,, GitHub ,,,,,,Other,Coursera,,,,,,,,,,,
,,,,,,,,,I do not share my work publicly,,,edX,,,,,,,,,,
,,,,,,,,,,,Coursera,,,,Fast.ai,Udacity,Udemy,,,,,Other
,,,, GitHub ,, Kaggle , Colab ,,,,Coursera,,Kaggle Learn Courses,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Udemy,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Coursera,edX,Kaggle Learn Courses,,,,Udemy,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,Udemy,,,,,
 Google Cloud Platform (GCP) ,,,, GitHub ,, Kaggle ,,,,,Coursera,,Kaggle Learn Courses,,,,,LinkedIn Learning,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Coursera,,,DataCamp,,,Udemy,,,,,
,,,, GitHub ,,,,,,,,,,,,,Udemy,,,,,Other
,,,,,,,,,I do not share my work publicly,,,,,DataCamp,Fast.ai,,,,,,,
 Amazon Web Services (AWS) ,,,, GitHub ,, Kaggle , Colab ,,,,Coursera,,Kaggle Learn Courses,DataCamp,Fast.ai,,Udemy,,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,,,Udacity,Udemy,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,, Kaggle ,,,,,,,,,,,,,,,None,
,,,,,,,,,I do not share my work publicly,,,,Kaggle Learn Courses,,,Udacity,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,Udemy,,,,,
,,,,,,,,,I do not share my work publicly,,Coursera,edX,Kaggle Learn Courses,DataCamp,,,Udemy,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Coursera,,,DataCamp,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,I do not share my work publicly,,Coursera,,,,,,,,,,,Other
,,,,,,,,,I do not share my work publicly,,Coursera,,Kaggle Learn Courses,,,,,,,,,
 Amazon Web Services (AWS) ,,,,,, Kaggle , Colab ,,,,Coursera,edX,Kaggle Learn Courses,,,Udacity,Udemy,LinkedIn Learning,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,I do not share my work publicly,,Coursera,,Kaggle Learn Courses,,,Udacity,Udemy,,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,, GitHub ,,,,,,,,,Kaggle Learn Courses,,,,Udemy,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",University Courses (resulting in a university degree),,
,,,,,,,,,,,Coursera,,,,,,Udemy,,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,,Fast.ai,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,None,
,,,,,,,,,,,,,,,,,,,,University Courses (resulting in a university degree),,Other
,,,,,,,,,,,,,Kaggle Learn Courses,,Fast.ai,,Udemy,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,Other
,,,,,,,,,I do not share my work publicly,,,,,DataCamp,,,,,,,,
 Amazon Web Services (AWS) ,,,,,,,,,I do not share my work publicly,,Coursera,,,,,Udacity,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,
,,,, GitHub ,, Kaggle ,,,,,Coursera,,,DataCamp,Fast.ai,Udacity,,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",University Courses (resulting in a university degree),,
,,,,,,,,,,,Coursera,edX,Kaggle Learn Courses,DataCamp,Fast.ai,Udacity,Udemy,,,University Courses (resulting in a university degree),,
,,,,, Personal blog ,,,,,,,,Kaggle Learn Courses,,,,Udemy,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",University Courses (resulting in a university degree),,
,,,,,,,,,,,Coursera,edX,,,,,,,,,,Other
,,,, GitHub ,,,,,,,,,Kaggle Learn Courses,,,,,,,,,
,,,,, Personal blog ,,,,,,,,,,,,,,,,,Other
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,DataCamp,,,,,,,,
,,,, GitHub ,, Kaggle ,,,,,,,Kaggle Learn Courses,,,,Udemy,,,,,
,,,,,,,,,I do not share my work publicly,,Coursera,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,, GitHub ,,,,,,,Coursera,,Kaggle Learn Courses,,Fast.ai,,,,,,,Other
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,LinkedIn Learning,,University Courses (resulting in a university degree),,Other
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Other,,,Kaggle Learn Courses,DataCamp,,,,LinkedIn Learning,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",University Courses (resulting in a university degree),,
,,,,,,,,,I do not share my work publicly,,,,,,,,,,,,,Other
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Coursera,edX,,,Fast.ai,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,None,
 Google Cloud Platform (GCP) ,,,, GitHub ,,, Colab ,,,,Coursera,edX,Kaggle Learn Courses,,,Udacity,Udemy,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,,,,,,
,,,, GitHub ,,, Colab ,,,,,,,,,,Udemy,LinkedIn Learning,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,,,,,,,,,,,,,,,,,None,
,,,,,,,,,,,,,,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,DataCamp,,Udacity,Udemy,,,,,
,,,, GitHub ,, Kaggle ,,,,,Coursera,,,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,,LinkedIn Learning,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,Coursera,edX,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,I do not share my work publicly,,,,,,,,,,,,None,
,,,,,,,,,I do not share my work publicly,,,,,,,,,,,,None,
,,,,,,,,,,,,,,,,,,,,,,
,,,, GitHub ,,, Colab ,,,,Coursera,,,,,,Udemy,LinkedIn Learning,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,,,,University Courses (resulting in a university degree),,
 Google Cloud Platform (GCP) ,,,,,,,,,I do not share my work publicly,,Coursera,edX,Kaggle Learn Courses,,,,Udemy,LinkedIn Learning,,,,
,,,, GitHub ,, Kaggle ,,,,,Coursera,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Other
,,,,,,,,,,,,,,,,,,,,,,
 Google Cloud Platform (GCP) , Plotly Dash , Streamlit ,, GitHub ,,, Colab , Shiny ,,,Coursera,,Kaggle Learn Courses,,,,Udemy,,,,,
,,,,,,,,,I do not share my work publicly,,Coursera,edX,,DataCamp,,,Udemy,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,,,,,,,,,,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,
 Google Cloud Platform (GCP) ,,,,,,,,,I do not share my work publicly,,,,,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,, GitHub ,,, Colab ,,,,Coursera,edX,Kaggle Learn Courses,,Fast.ai,Udacity,Udemy,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",University Courses (resulting in a university degree),,
,,,, GitHub ,, Kaggle , Colab ,,,,Coursera,,Kaggle Learn Courses,,,,Udemy,,,,,
,,,,,,,,,,,,,,DataCamp,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,
,,,, GitHub , Personal blog ,, Colab ,,,,,,Kaggle Learn Courses,,,,Udemy,LinkedIn Learning,,,,
 Google Cloud Platform (GCP) ,,,, GitHub ,,,,,,,,edX,Kaggle Learn Courses,,,,Udemy,,,,,
,,,, GitHub ,, Kaggle ,,,,,Coursera,,Kaggle Learn Courses,,,,,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,DataCamp,,,,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,Other
,,,,,,,,,,,Coursera,,,,,,,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,,,,,I do not share my work publicly,,,,,,,,Udemy,,,,,
,,,,,,,,,,,,,,,,,Udemy,,,University Courses (resulting in a university degree),,
,,,, GitHub ,, Kaggle , Colab ,,,,,,,,,,Udemy,,,,,
,,,, GitHub ,,,,,,,Coursera,,,,,,,,,,,
 Microsoft Azure ,,,,,,,,,I do not share my work publicly,,,edX,,,,,Udemy,,,,,
,,,, GitHub ,,,,,,,,,,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,edX,,,,,,,,,,
,,,,, Personal blog ,,,,,,Coursera,,,,,,,LinkedIn Learning,,,,
,,,,,,,,,,,Coursera,edX,Kaggle Learn Courses,,,,Udemy,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,,,,,I do not share my work publicly,,Coursera,,Kaggle Learn Courses,,,,,,,,,Other
,,,,,,,,,,,,,,,,,,,,,None,
,,,,,,,,,,,,,,,,,,,,,,
 Microsoft Azure ,,,,,, Kaggle ,,,,,Coursera,,Kaggle Learn Courses,DataCamp,,,,LinkedIn Learning,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, Colab ,,,,,,,,,,,,,,,Other
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,,,,
 Google Cloud Platform (GCP) ,,,,,,,,,I do not share my work publicly,,,,Kaggle Learn Courses,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Coursera,edX,,,,,Udemy,LinkedIn Learning,,University Courses (resulting in a university degree),,
,,,, GitHub , Personal blog ,,,,,,Coursera,,Kaggle Learn Courses,,Fast.ai,,,,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,DataCamp,,Udacity,,,,,,
,,,, GitHub ,,,,,,,,,,,,,,,,,None,
,,,,,,,,,,,Coursera,edX,,,,,,,,,,
,,,,,,,,,I do not share my work publicly,,Coursera,edX,Kaggle Learn Courses,,,,,,,University Courses (resulting in a university degree),,
They all had a similarly enjoyable developer experience,,, NBViewer , GitHub ,,, Colab ,,,,Coursera,,,,,Udacity,Udemy,,,,,
They all had a similarly enjoyable developer experience,,,, GitHub ,, Kaggle ,,,,,Coursera,,Kaggle Learn Courses,DataCamp,Fast.ai,,Udemy,LinkedIn Learning,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,Udemy,LinkedIn Learning,,University Courses (resulting in a university degree),,
