,index,age,gender
223,223,70+,Man
224,224,18-21,Man
225,225,45-49,Man
226,226,18-21,Man
227,227,25-29,Woman
228,228,25-29,Man
229,229,25-29,Man
230,230,22-24,Man
231,231,22-24,Man
232,232,55-59,Woman
233,233,25-29,Man
234,234,50-54,Man
235,235,22-24,Man
236,236,18-21,Woman
237,237,45-49,Man
238,238,25-29,Man
239,239,50-54,Man
240,240,30-34,Man
241,241,30-34,Woman
242,242,40-44,Man
243,243,18-21,Man
244,244,35-39,Man
245,245,18-21,Woman
246,246,25-29,Man
247,247,22-24,Man
248,248,25-29,Man
249,249,35-39,Woman
250,250,30-34,Woman
251,251,22-24,Man
252,252,35-39,Woman
253,253,55-59,Woman
254,254,40-44,Man
255,255,30-34,Man
256,256,22-24,Man
257,257,25-29,Woman
258,258,60-69,Man
259,259,50-54,Man
260,260,35-39,Man
261,261,30-34,Man
262,262,30-34,Man
263,263,25-29,Woman
264,264,35-39,Man
265,265,35-39,Woman
266,266,45-49,Prefer not to say
267,267,18-21,Man
268,268,22-24,Man
269,269,25-29,Woman
270,270,25-29,Woman
271,271,25-29,Man
272,272,25-29,Man
273,273,45-49,Man
274,274,25-29,Man
275,275,22-24,Man
276,276,22-24,Man
277,277,22-24,Man
278,278,25-29,Woman
279,279,22-24,Man
280,280,35-39,Man
281,281,18-21,Woman
282,282,40-44,Man
283,283,50-54,Man
284,284,30-34,Man
285,285,45-49,Woman
286,286,22-24,Man
287,287,35-39,Woman
288,288,25-29,Man
289,289,35-39,Man
290,290,22-24,Woman
291,291,18-21,Woman
292,292,22-24,Man
293,293,18-21,Man
294,294,22-24,Man
295,295,45-49,Man
296,296,30-34,Woman
297,297,50-54,Man
298,298,40-44,Man
299,299,50-54,Man
300,300,30-34,Woman
301,301,25-29,Prefer not to say
302,302,22-24,Woman
303,303,25-29,Man
304,304,25-29,Woman
305,305,45-49,Man
306,306,30-34,Man
307,307,30-34,Nonbinary
308,308,25-29,Woman
309,309,35-39,Woman
310,310,60-69,Man
311,311,22-24,Man
312,312,18-21,Woman
313,313,60-69,Man
314,314,25-29,Man
315,315,40-44,Man
316,316,35-39,Woman
317,317,22-24,Woman
318,318,18-21,Man
319,319,25-29,Woman
320,320,18-21,Man
321,321,25-29,Man
322,322,40-44,Man
323,323,35-39,Man
324,324,40-44,Man
325,325,25-29,Man
326,326,30-34,Woman
327,327,35-39,Man
328,328,22-24,Man
329,329,35-39,Man
330,330,18-21,Man
331,331,25-29,Woman
332,332,40-44,Man
333,333,22-24,Man
334,334,25-29,Man
335,335,35-39,Man
336,336,45-49,Man
337,337,35-39,Man
338,338,25-29,Man
339,339,40-44,Man
340,340,25-29,Woman
341,341,18-21,Man
342,342,70+,Man
343,343,50-54,Man
344,344,18-21,Man
345,345,30-34,Man
346,346,55-59,Man
347,347,35-39,Man
348,348,18-21,Woman
349,349,18-21,Man
350,350,18-21,Man
351,351,25-29,Man
352,352,22-24,Man
353,353,30-34,Man
354,354,30-34,Man
355,355,30-34,Man
356,356,40-44,Man
357,357,35-39,Man
358,358,25-29,Man
359,359,22-24,Man
360,360,25-29,Woman
361,361,22-24,Man
362,362,55-59,Man
363,363,35-39,Man
364,364,18-21,Man
365,365,25-29,Woman
366,366,18-21,Woman
367,367,25-29,Man
368,368,25-29,Man
369,369,35-39,Man
370,370,18-21,Man
371,371,25-29,Man
372,372,50-54,Man
373,373,35-39,Man
374,374,45-49,Man
375,375,25-29,Woman
376,376,60-69,Man
377,377,25-29,Man
378,378,60-69,Man
379,379,22-24,Man
380,380,25-29,Man
381,381,22-24,Man
382,382,25-29,Woman
383,383,18-21,Woman
384,384,35-39,Man
385,385,18-21,Man
386,386,45-49,Man
387,387,25-29,Woman
388,388,18-21,Prefer not to say
389,389,40-44,Man
390,390,25-29,Man
391,391,50-54,Man
392,392,25-29,Man
393,393,35-39,Man
394,394,50-54,Woman
395,395,18-21,Man
396,396,50-54,Man
397,397,50-54,Man
398,398,18-21,Man
399,399,35-39,Man
400,400,18-21,Man
401,401,40-44,Man
402,402,22-24,Woman
403,403,35-39,Woman
404,404,25-29,Woman
405,405,25-29,Man
406,406,25-29,Man
407,407,18-21,Woman
408,408,40-44,Man
409,409,30-34,Man
410,410,55-59,Woman
411,411,25-29,Man
412,412,22-24,Man
413,413,22-24,Man
414,414,25-29,Man
415,415,45-49,Woman
416,416,30-34,Man
417,417,30-34,Man
418,418,30-34,Man
419,419,25-29,Man
420,420,25-29,Woman
421,421,22-24,Man
422,422,40-44,Prefer not to say
423,423,35-39,Man
424,424,25-29,Man
425,425,45-49,Man
426,426,18-21,Woman
427,427,35-39,Woman
428,428,18-21,Man
429,429,40-44,Man
430,430,30-34,Woman
431,431,30-34,Woman
432,432,18-21,Man
433,433,35-39,Man
434,434,25-29,Man
435,435,22-24,Man
436,436,30-34,Man
437,437,22-24,Man
438,438,22-24,Man
439,439,22-24,Man
440,440,22-24,Man
441,441,18-21,Man
442,442,18-21,Man
443,443,18-21,Man
444,444,30-34,Man
445,445,25-29,Man
446,446,30-34,Man
447,447,22-24,Man
448,448,35-39,Woman
449,449,22-24,Prefer to self-describe
450,450,18-21,Man
451,451,30-34,Man
452,452,40-44,Man
453,453,30-34,Man
454,454,25-29,Man
455,455,22-24,Man
456,456,18-21,Man
457,457,35-39,Man
458,458,22-24,Man
459,459,30-34,Man
460,460,22-24,Man
461,461,30-34,Woman
462,462,18-21,Man
463,463,30-34,Man
464,464,40-44,Man
465,465,25-29,Man
466,466,50-54,Man
467,467,25-29,Woman
468,468,25-29,Man
469,469,25-29,Man
470,470,18-21,Man
471,471,30-34,Man
472,472,45-49,Man
473,473,35-39,Man
474,474,30-34,Man
475,475,45-49,Man
476,476,18-21,Man
477,477,22-24,Woman
478,478,35-39,Man
479,479,22-24,Woman
480,480,25-29,Woman
481,481,35-39,Man
482,482,50-54,Woman
483,483,18-21,Man
484,484,25-29,Man
485,485,22-24,Man
486,486,35-39,Prefer not to say
487,487,35-39,Man
488,488,30-34,Man
489,489,45-49,Man
490,490,40-44,Man
491,491,45-49,Man
492,492,22-24,Man
493,493,18-21,Woman
494,494,25-29,Man
495,495,18-21,Woman
496,496,35-39,Man
497,497,22-24,Man
498,498,55-59,Man
499,499,22-24,Man
500,500,22-24,Man
501,501,30-34,Man
502,502,18-21,Man
503,503,25-29,Man
504,504,30-34,Woman
505,505,60-69,Man
506,506,45-49,Man
507,507,25-29,Man
508,508,25-29,Man
509,509,18-21,Woman
510,510,35-39,Man
511,511,25-29,Man
512,512,18-21,Woman
513,513,35-39,Woman
514,514,18-21,Woman
515,515,22-24,Man
516,516,25-29,Man
517,517,50-54,Man
518,518,45-49,Man
519,519,50-54,Man
520,520,25-29,Man
521,521,35-39,Man
522,522,18-21,Man
523,523,18-21,Man
524,524,35-39,Man
525,525,25-29,Man
526,526,18-21,Man
527,527,55-59,Man
528,528,18-21,Man
529,529,22-24,Woman
530,530,40-44,Man
531,531,40-44,Man
532,532,25-29,Man
533,533,22-24,Man
534,534,22-24,Man
535,535,60-69,Man
536,536,25-29,Man
537,537,18-21,Man
538,538,22-24,Man
539,539,22-24,Man
540,540,35-39,Man
541,541,22-24,Man
542,542,18-21,Man
543,543,18-21,Man
544,544,25-29,Man
545,545,35-39,Man
546,546,55-59,Man
547,547,35-39,Man
548,548,18-21,Man
549,549,30-34,Man
550,550,18-21,Man
551,551,22-24,Man
552,552,22-24,Man
553,553,18-21,Woman
554,554,35-39,Man
555,555,25-29,Woman
556,556,35-39,Man
557,557,22-24,Man
558,558,22-24,Woman
559,559,30-34,Man
560,560,30-34,Man
561,561,35-39,Woman
562,562,45-49,Man
563,563,25-29,Man
564,564,22-24,Man
565,565,18-21,Woman
566,566,30-34,Man
567,567,18-21,Man
568,568,40-44,Man
569,569,18-21,Man
570,570,22-24,Man
571,571,22-24,Man
572,572,22-24,Man
573,573,22-24,Man
574,574,35-39,Man
575,575,25-29,Man
576,576,30-34,Man
577,577,18-21,Man
578,578,22-24,Man
579,579,30-34,Man
580,580,25-29,Man
581,581,22-24,Woman
582,582,22-24,Man
583,583,25-29,Man
584,584,25-29,Woman
585,585,22-24,Man
586,586,30-34,Man
587,587,35-39,Man
588,588,22-24,Man
589,589,50-54,Man
590,590,25-29,Man
591,591,60-69,Man
592,592,18-21,Man
593,593,25-29,Man
594,594,22-24,Man
595,595,22-24,Woman
596,596,50-54,Man
597,597,22-24,Man
598,598,22-24,Woman
599,599,25-29,Man
600,600,25-29,Man
601,601,30-34,Man
602,602,60-69,Man
603,603,25-29,Man
604,604,40-44,Man
605,605,35-39,Man
606,606,30-34,Man
607,607,25-29,Man
608,608,25-29,Man
609,609,18-21,Man
610,610,40-44,Man
611,611,40-44,Man
612,612,45-49,Man
613,613,50-54,Man
614,614,18-21,Man
615,615,50-54,Man
616,616,18-21,Man
617,617,22-24,Man
618,618,22-24,Man
619,619,35-39,Woman
620,620,22-24,Man
621,621,22-24,Man
622,622,22-24,Man
623,623,30-34,Woman
624,624,18-21,Woman
625,625,25-29,Woman
626,626,25-29,Woman
627,627,22-24,Man
628,628,25-29,Man
629,629,25-29,Man
630,630,55-59,Man
631,631,22-24,Man
632,632,30-34,Man
633,633,22-24,Woman
634,634,30-34,Man
635,635,25-29,Man
636,636,25-29,Man
637,637,35-39,Woman
638,638,30-34,Man
639,639,22-24,Man
640,640,35-39,Man
641,641,18-21,Man
642,642,25-29,Man
643,643,25-29,Man
644,644,35-39,Man
645,645,30-34,Woman
646,646,25-29,Man
647,647,30-34,Man
648,648,55-59,Man
649,649,40-44,Woman
650,650,22-24,Woman
651,651,35-39,Man
652,652,22-24,Man
653,653,60-69,Man
654,654,30-34,Man
655,655,25-29,Man
656,656,30-34,Man
657,657,35-39,Man
658,658,70+,Man
659,659,18-21,Man
660,660,22-24,Woman
661,661,35-39,Woman
662,662,60-69,Man
663,663,25-29,Man
664,664,35-39,Man
665,665,22-24,Man
666,666,22-24,Man
667,667,22-24,Man
668,668,30-34,Man
669,669,22-24,Man
670,670,50-54,Man
671,671,40-44,Man
672,672,30-34,Man
673,673,30-34,Man
674,674,45-49,Man
675,675,50-54,Man
676,676,30-34,Woman
677,677,30-34,Man
678,678,45-49,Man
679,679,25-29,Man
680,680,18-21,Man
681,681,18-21,Man
682,682,25-29,Man
683,683,40-44,Prefer not to say
684,684,22-24,Man
685,685,35-39,Man
686,686,25-29,Woman
687,687,22-24,Woman
688,688,30-34,Man
689,689,30-34,Woman
690,690,18-21,Man
691,691,18-21,Man
692,692,22-24,Man
693,693,35-39,Man
694,694,25-29,Man
695,695,25-29,Man
696,696,30-34,Prefer not to say
697,697,18-21,Woman
698,698,45-49,Man
699,699,22-24,Man
700,700,35-39,Man
701,701,18-21,Man
702,702,18-21,Woman
703,703,25-29,Woman
704,704,40-44,Woman
705,705,60-69,Man
706,706,25-29,Man
707,707,50-54,Man
708,708,22-24,Man
709,709,22-24,Woman
710,710,40-44,Man
711,711,50-54,Man
712,712,25-29,Man
713,713,60-69,Man
714,714,40-44,Man
715,715,22-24,Man
716,716,35-39,Man
717,717,18-21,Woman
718,718,18-21,Man
719,719,30-34,Woman
720,720,35-39,Man
721,721,35-39,Man
722,722,45-49,Man
723,723,25-29,Woman
724,724,35-39,Woman
725,725,18-21,Man
726,726,22-24,Man
727,727,18-21,Woman
728,728,22-24,Woman
729,729,22-24,Woman
730,730,30-34,Man
731,731,18-21,Woman
732,732,22-24,Man
733,733,40-44,Man
734,734,22-24,Man
735,735,30-34,Man
736,736,30-34,Man
737,737,50-54,Man
738,738,18-21,Man
739,739,25-29,Man
740,740,45-49,Man
741,741,45-49,Prefer not to say
742,742,18-21,Man
743,743,40-44,Man
744,744,35-39,Woman
745,745,55-59,Man
746,746,22-24,Prefer not to say
747,747,35-39,Man
748,748,22-24,Woman
749,749,45-49,Man
750,750,25-29,Woman
751,751,35-39,Man
752,752,22-24,Man
753,753,18-21,Man
754,754,30-34,Man
755,755,30-34,Man
756,756,25-29,Man
757,757,30-34,Man
758,758,30-34,Woman
759,759,25-29,Man
760,760,22-24,Man
761,761,18-21,Man
762,762,45-49,Man
763,763,30-34,Woman
764,764,40-44,Man
765,765,35-39,Man
766,766,30-34,Man
767,767,30-34,Man
768,768,22-24,Man
769,769,22-24,Man
770,770,18-21,Woman
771,771,40-44,Man
772,772,30-34,Woman
773,773,35-39,Man
774,774,22-24,Man
775,775,35-39,Man
776,776,25-29,Woman
777,777,22-24,Man
778,778,18-21,Man
779,779,25-29,Woman
780,780,18-21,Woman
781,781,18-21,Woman
782,782,40-44,Man
783,783,25-29,Man
784,784,25-29,Man
785,785,25-29,Man
786,786,30-34,Man
787,787,30-34,Prefer not to say
788,788,18-21,Man
789,789,18-21,Man
790,790,18-21,Man
791,791,22-24,Man
792,792,18-21,Woman
793,793,22-24,Man
794,794,25-29,Man
795,795,18-21,Man
796,796,55-59,Man
797,797,18-21,Man
798,798,30-34,Man
799,799,25-29,Woman
800,800,25-29,Man
801,801,30-34,Man
802,802,25-29,Man
803,803,18-21,Woman
804,804,18-21,Man
805,805,60-69,Man
806,806,18-21,Man
807,807,25-29,Man
808,808,22-24,Man
809,809,18-21,Man
810,810,30-34,Man
811,811,40-44,Woman
812,812,35-39,Man
813,813,25-29,Man
814,814,22-24,Man
815,815,40-44,Man
816,816,18-21,Man
817,817,30-34,Man
818,818,22-24,Man
819,819,25-29,Woman
820,820,25-29,Man
821,821,18-21,Man
822,822,22-24,Man
823,823,45-49,Man
824,824,18-21,Man
825,825,22-24,Man
826,826,22-24,Man
827,827,18-21,Woman
828,828,25-29,Man
829,829,18-21,Man
830,830,22-24,Man
831,831,25-29,Woman
832,832,18-21,Man
833,833,30-34,Woman
834,834,30-34,Man
835,835,30-34,Man
836,836,30-34,Woman
837,837,25-29,Man
838,838,22-24,Man
839,839,45-49,Man
840,840,22-24,Man
841,841,50-54,Man
842,842,22-24,Man
843,843,18-21,Man
844,844,25-29,Man
845,845,22-24,Man
846,846,25-29,Man
847,847,60-69,Man
848,848,35-39,Man
849,849,30-34,Man
850,850,35-39,Woman
851,851,22-24,Man
852,852,25-29,Man
853,853,25-29,Woman
854,854,40-44,Man
855,855,35-39,Man
856,856,35-39,Man
857,857,35-39,Man
858,858,45-49,Man
859,859,40-44,Man
860,860,35-39,Man
861,861,22-24,Man
862,862,30-34,Man
863,863,25-29,Man
864,864,50-54,Man
865,865,18-21,Man
866,866,30-34,Man
867,867,18-21,Man
868,868,18-21,Man
869,869,55-59,Man
870,870,22-24,Man
871,871,30-34,Man
872,872,18-21,Man
873,873,35-39,Man
874,874,25-29,Man
875,875,60-69,Woman
876,876,18-21,Man
877,877,30-34,Man
878,878,22-24,Man
879,879,25-29,Woman
880,880,18-21,Man
881,881,22-24,Man
882,882,18-21,Woman
883,883,18-21,Man
884,884,25-29,Man
885,885,30-34,Woman
886,886,35-39,Man
887,887,35-39,Woman
888,888,40-44,Man
889,889,25-29,Man
890,890,25-29,Man
891,891,40-44,Woman
892,892,25-29,Man
893,893,22-24,Man
894,894,50-54,Man
895,895,35-39,Man
896,896,35-39,Man
897,897,18-21,Man
898,898,45-49,Man
899,899,18-21,Man
900,900,18-21,Woman
901,901,30-34,Man
902,902,60-69,Man
903,903,18-21,Man
904,904,30-34,Man
905,905,22-24,Man
906,906,35-39,Man
907,907,45-49,Man
908,908,30-34,Man
909,909,40-44,Man
910,910,40-44,Woman
911,911,35-39,Man
912,912,18-21,Man
913,913,22-24,Man
914,914,25-29,Man
915,915,30-34,Man
916,916,40-44,Man
917,917,22-24,Man
918,918,30-34,Man
919,919,22-24,Man
920,920,18-21,Man
921,921,22-24,Man
922,922,18-21,Man
923,923,22-24,Man
924,924,55-59,Man
925,925,22-24,Man
926,926,25-29,Man
927,927,25-29,Man
928,928,30-34,Man
929,929,70+,Man
930,930,40-44,Man
931,931,25-29,Man
932,932,30-34,Man
933,933,25-29,Man
934,934,30-34,Man
935,935,60-69,Man
936,936,18-21,Woman
937,937,35-39,Man
938,938,18-21,Woman
939,939,18-21,Man
940,940,18-21,Woman
941,941,25-29,Man
942,942,18-21,Woman
943,943,25-29,Man
944,944,45-49,Man
945,945,18-21,Woman
946,946,40-44,Man
947,947,18-21,Man
948,948,55-59,Man
949,949,18-21,Woman
950,950,30-34,Man
951,951,30-34,Woman
952,952,30-34,Man
953,953,45-49,Man
954,954,40-44,Man
955,955,25-29,Man
956,956,18-21,Woman
957,957,25-29,Man
958,958,35-39,Woman
959,959,25-29,Man
960,960,25-29,Man
961,961,50-54,Woman
962,962,25-29,Man
963,963,35-39,Man
964,964,22-24,Woman
965,965,40-44,Man
966,966,40-44,Man
967,967,18-21,Man
968,968,45-49,Man
969,969,18-21,Woman
970,970,35-39,Man
971,971,30-34,Woman
972,972,22-24,Man
973,973,40-44,Woman
974,974,45-49,Man
975,975,25-29,Man
976,976,22-24,Man
977,977,25-29,Man
978,978,25-29,Woman
979,979,25-29,Woman
980,980,30-34,Man
981,981,25-29,Woman
982,982,40-44,Man
983,983,25-29,Woman
984,984,22-24,Woman
985,985,25-29,Man
986,986,18-21,Man
987,987,40-44,Woman
988,988,25-29,Man
989,989,45-49,Man
990,990,45-49,Man
991,991,22-24,Man
992,992,25-29,Man
993,993,18-21,Woman
994,994,30-34,Man
995,995,22-24,Man
996,996,25-29,Man
997,997,35-39,Woman
998,998,18-21,Man
999,999,25-29,Woman
1000,1000,22-24,Woman
1001,1001,22-24,Woman
1002,1002,30-34,Man
1003,1003,22-24,Man
1004,1004,18-21,Man
1005,1005,25-29,Man
1006,1006,35-39,Man
1007,1007,22-24,Man
1008,1008,30-34,Woman
1009,1009,22-24,Man
1010,1010,22-24,Man
1011,1011,35-39,Man
1012,1012,22-24,Woman
1013,1013,22-24,Man
1014,1014,18-21,Woman
1015,1015,22-24,Woman
1016,1016,35-39,Man
1017,1017,25-29,Man
1018,1018,25-29,Man
1019,1019,45-49,Man
1020,1020,35-39,Woman
1021,1021,25-29,Man
1022,1022,25-29,Man
1023,1023,35-39,Woman
1024,1024,30-34,Man
1025,1025,35-39,Man
1026,1026,25-29,Man
1027,1027,45-49,Man
1028,1028,18-21,Man
1029,1029,22-24,Man
1030,1030,18-21,Man
1031,1031,25-29,Woman
1032,1032,25-29,Woman
1033,1033,35-39,Woman
1034,1034,22-24,Woman
1035,1035,18-21,Man
1036,1036,25-29,Woman
1037,1037,40-44,Man
1038,1038,22-24,Man
1039,1039,18-21,Man
1040,1040,22-24,Man
1041,1041,22-24,Man
1042,1042,22-24,Man
1043,1043,50-54,Man
1044,1044,22-24,Man
1045,1045,25-29,Man
1046,1046,40-44,Man
1047,1047,18-21,Woman
1048,1048,30-34,Woman
1049,1049,18-21,Man
1050,1050,30-34,Man
1051,1051,35-39,Woman
1052,1052,18-21,Man
1053,1053,18-21,Man
1054,1054,18-21,Man
1055,1055,30-34,Woman
1056,1056,22-24,Man
1057,1057,25-29,Man
1058,1058,30-34,Man
1059,1059,18-21,Man
1060,1060,45-49,Woman
1061,1061,22-24,Woman
1062,1062,25-29,Man
1063,1063,22-24,Man
1064,1064,30-34,Man
1065,1065,70+,Man
1066,1066,22-24,Man
1067,1067,40-44,Man
1068,1068,25-29,Man
1069,1069,60-69,Man
1070,1070,18-21,Man
1071,1071,30-34,Man
1072,1072,25-29,Man
1073,1073,22-24,Man
1074,1074,25-29,Man
1075,1075,22-24,Man
1076,1076,40-44,Man
1077,1077,25-29,Woman
1078,1078,30-34,Man
1079,1079,40-44,Man
1080,1080,18-21,Man
1081,1081,22-24,Man
1082,1082,45-49,Man
1083,1083,40-44,Woman
1084,1084,18-21,Man
1085,1085,22-24,Man
1086,1086,18-21,Man
1087,1087,35-39,Man
1088,1088,25-29,Man
1089,1089,30-34,Man
1090,1090,30-34,Woman
1091,1091,18-21,Man
1092,1092,25-29,Man
1093,1093,18-21,Man
1094,1094,22-24,Man
1095,1095,25-29,Man
1096,1096,22-24,Man
1097,1097,30-34,Woman
1098,1098,30-34,Man
1099,1099,30-34,Man
1100,1100,22-24,Man
1101,1101,55-59,Man
1102,1102,35-39,Man
1103,1103,25-29,Woman
1104,1104,60-69,Man
1105,1105,55-59,Man
1106,1106,18-21,Man
1107,1107,25-29,Man
1108,1108,18-21,Man
1109,1109,35-39,Man
1110,1110,25-29,Man
1111,1111,18-21,Man
1112,1112,30-34,Man
1113,1113,25-29,Woman
1114,1114,25-29,Man
1115,1115,22-24,Man
1116,1116,50-54,Man
1117,1117,22-24,Man
1118,1118,50-54,Man
1119,1119,50-54,Man
1120,1120,25-29,Woman
1121,1121,30-34,Woman
1122,1122,35-39,Woman
1123,1123,22-24,Man
1124,1124,30-34,Woman
1125,1125,45-49,Man
1126,1126,50-54,Man
1127,1127,30-34,Woman
1128,1128,18-21,Man
1129,1129,50-54,Man
1130,1130,30-34,Woman
1131,1131,25-29,Man
1132,1132,25-29,Woman
1133,1133,35-39,Man
1134,1134,35-39,Man
1135,1135,25-29,Woman
1136,1136,25-29,Man
1137,1137,25-29,Man
1138,1138,35-39,Man
1139,1139,40-44,Woman
1140,1140,25-29,Man
1141,1141,30-34,Man
1142,1142,18-21,Man
1143,1143,22-24,Man
1144,1144,25-29,Woman
1145,1145,22-24,Man
1146,1146,30-34,Man
1147,1147,40-44,Man
1148,1148,35-39,Woman
1149,1149,45-49,Man
1150,1150,22-24,Man
1151,1151,50-54,Man
1152,1152,22-24,Man
1153,1153,45-49,Man
1154,1154,22-24,Man
1155,1155,18-21,Man
1156,1156,25-29,Man
1157,1157,25-29,Man
1158,1158,18-21,Man
1159,1159,30-34,Man
1160,1160,60-69,Man
1161,1161,18-21,Man
1162,1162,50-54,Man
1163,1163,22-24,Woman
1164,1164,35-39,Man
1165,1165,25-29,Man
1166,1166,40-44,Woman
1167,1167,35-39,Man
1168,1168,25-29,Woman
1169,1169,40-44,Man
1170,1170,35-39,Man
1171,1171,18-21,Man
1172,1172,45-49,Man
1173,1173,18-21,Man
1174,1174,30-34,Man
1175,1175,60-69,Prefer not to say
1176,1176,30-34,Man
1177,1177,25-29,Woman
1178,1178,50-54,Man
1179,1179,50-54,Man
1180,1180,22-24,Man
1181,1181,40-44,Man
1182,1182,25-29,Man
1183,1183,18-21,Man
1184,1184,18-21,Woman
1185,1185,25-29,Man
1186,1186,18-21,Woman
1187,1187,35-39,Man
1188,1188,40-44,Man
1189,1189,18-21,Man
1190,1190,60-69,Man
1191,1191,18-21,Man
1192,1192,30-34,Woman
1193,1193,25-29,Man
1194,1194,25-29,Woman
1195,1195,60-69,Nonbinary
1196,1196,25-29,Man
1197,1197,30-34,Man
1198,1198,60-69,Man
1199,1199,40-44,Man
1200,1200,22-24,Man
1201,1201,25-29,Man
1202,1202,35-39,Woman
1203,1203,30-34,Man
